date,archetype
2014-02-22,Death & Taxes decks
2014-02-22,Loam decks
2014-02-22,Nic Fit  decks
2014-02-22,Patriot Aggro decks
2014-02-22,Storm decks
2014-02-22,Storm decks
2014-02-23,Ad Nauseam decks
2014-02-23,Ad Nauseam decks
2014-02-23,Ad Nauseam decks
2014-02-23,Ad Nauseam decks
2014-02-23,Affinity decks
2014-02-23,Affinity decks
2014-02-23,Affinity decks
2014-02-23,Affinity decks
2014-02-23,Affinity decks
2014-02-23,Affinity decks
2014-02-23,Amulet Titan decks
2014-02-23,Amulet Titan decks
2014-02-23,Amulet Titan decks
2014-02-23,Aura Hexproof decks
2014-02-23,Aura Hexproof decks
2014-02-23,Aura Hexproof decks
2014-02-23,Aura Hexproof decks
2014-02-23,Canadian Threshold decks
2014-02-23,Creatures Toolbox decks
2014-02-23,Creatures Toolbox decks
2014-02-23,Creatures Toolbox decks
2014-02-23,Creatures Toolbox decks
2014-02-23,Creatures Toolbox decks
2014-02-23,Creatures Toolbox decks
2014-02-23,Creatures Toolbox decks
2014-02-23,Creatures Toolbox decks
2014-02-23,Creatures Toolbox decks
2014-02-23,Faeries decks
2014-02-23,Gift Control decks
2014-02-23,Hatebear decks
2014-02-23,Hatebear decks
2014-02-23,Hatebear decks
2014-02-23,Jund decks
2014-02-23,Jund decks
2014-02-23,Jund decks
2014-02-23,Jund decks
2014-02-23,Living End decks
2014-02-23,Living End decks
2014-02-23,Merfolk decks
2014-02-23,Merfolk decks
2014-02-23,Patriot Aggro decks
2014-02-23,Red Deck Wins decks
2014-02-23,Red Deck Wins decks
2014-02-23,Show and Tell decks
2014-02-23,Storm decks
2014-02-23,The Rock decks
2014-02-23,The Rock decks
2014-02-23,Twin Exarch decks
2014-02-23,Twin Exarch decks
2014-02-23,Twin Exarch decks
2014-02-23,Twin Exarch decks
2014-02-23,Twin Exarch decks
2014-02-23,Twin Exarch decks
2014-02-23,Twin Exarch decks
2014-02-23,Twin Exarch decks
2014-02-23,Twin Exarch decks
2014-02-23,Twin Exarch decks
2014-02-23,Twin Exarch decks
2014-02-23,UR Storm decks
2014-02-23,UR Storm decks
2014-02-23,UR Storm decks
2014-02-23,UR Storm decks
2014-02-23,UR Storm decks
2014-02-23,UR Storm decks
2014-02-23,UW Control decks
2014-02-23,UW Control decks
2014-02-23,UW Control decks
2014-02-23,UW Control decks
2014-02-23,UW Control decks
2014-02-23,UW Control decks
2014-02-23,UWx Midrange decks
2014-02-23,UWx Midrange decks
2014-02-23,UWx Midrange decks
2014-02-23,Zoo decks
2014-02-23,Zoo decks
2014-02-23,Zoo decks
2014-02-23,Zoo decks
2014-02-24,Affinity decks
2014-02-24,Creatures Toolbox decks
2014-02-24,Creatures Toolbox decks
2014-02-24,Creatures Toolbox decks
2014-02-24,Faeries decks
2014-02-24,Faeries decks
2014-02-24,Grixis Control decks
2014-02-24,Hatebear decks
2014-02-24,Loam decks
2014-02-24,Merfolk decks
2014-02-24,Scapeshift decks
2014-02-24,Twin Exarch decks
2014-02-24,UR Control decks
2014-02-24,UR Storm decks
2014-02-24,UrzaTron decks
2014-02-24,UWx Midrange decks
2014-02-25,Grixis Control decks
2014-02-25,Hatebear decks
2014-02-25,Living End decks
2014-02-25,Twin Exarch decks
2014-02-25,Twin Exarch decks
2014-02-25,Twin Exarch decks
2014-02-25,UR Control decks
2014-02-25,UrzaTron decks
2014-02-25,UW Control decks
2014-02-25,UWx Midrange decks
2014-02-25,Zoo decks
2014-03-03,Boros Aggro decks
2014-03-03,Boros Aggro decks
2014-03-03,Devotion to Black decks
2014-03-03,Esper Midrange decks
2014-03-03,Esper Midrange decks
2014-03-03,Gruul Aggro decks
2014-03-03,UW Control decks
2014-03-03,UW Control decks
2014-03-04,Boros Aggro decks
2014-03-04,Devotion to Black decks
2014-03-04,Esper Control decks
2014-03-04,Mono Blue Aggro decks
2014-03-04,Orzhov Control decks
2014-03-04,Orzhov Control decks
2014-03-04,Rakdos Aggro decks
2014-03-04,UW Control decks
2014-03-05,Boros Aggro decks
2014-03-05,Boros Aggro decks
2014-03-05,Devotion to Black decks
